name,price_x,release_date,review_no,review_type,tags,description,Release_date,releasedate,copiessold,price_y,revenue,avgplaytime,reviewscore,publisherclass,publishers,developers,steamid
1976 - Back to midway,3.49,2020-12-10,121.0,Very Positive,"Action,Simulation,Casual,Action-Adventure,Shooter,Space Sim,Side Scroller,Top-Down Shooter,Immersive Sim,Shoot 'Em Up,2.5D,3D,VR,Cinematic,Top-Down,First-Person,Realistic,Colorful,Quick-Time Events,Story Rich","Are you ready to travel back in time to 1943 and relive the excitement of classic arcade dogfights? Now, thanks to Virtual Reality, you’re about to discover a new level of immersion and spectacularity, while retaining the original essence and fun.",2020-12-10,,,,,,,,,,
1979 Revolution: Black Friday,5.49,2016-04-04,1007.0,Mostly Positive,"Adventure,Indie,Choices Matter,Political,Historical,Action,Story Rich,Choose Your Own Adventure,Singleplayer,Multiple Endings,Exploration,Atmospheric,Point & Click,Replay Value,Great Soundtrack,Short,Violent,3D Vision,Third Person,Cold War","1979 Revolution: Black Friday is a choice driven, narrative game that brings players into the brooding world of a nation on the verge of collapse. Play as Reza, an aspiring photojournalist, and make life and death decisions as you survive the gritty streets of Iran in the late 1970’s.",2016-04-04,,,,,,,,,,
1v1.LOL - Battle Royale Game,0.0,2023-06-18,10391.0,Mostly Positive,"Action,Casual,Battle Royale,Free to Play,Simulation,Multiplayer,Shooter,Third-Person Shooter,3D,Third Person,PvP,Tactical,Team-Based,Massively Multiplayer,Adventure,Hentai,FPS,Sexual Content","Join over 80 million players in 1V1.LOL Champions, the Fastest Battle Royale experience!",2023-06-18,,,,,,,,,,
2 Ninjas 1 Cup,0.45,2017-02-04,278.0,Mostly Positive,"Action,Platformer,2D,Ninja,Memes,Comedy,Difficult,Singleplayer,Pixel Graphics,Great Soundtrack,Replay Value,Precision Platformer","Get ready for a game so stupid you would rather show your browser history than admit that you like it! Lots of action, explosions and yes, it's a penis-tank in the trailer.",2017-02-04,,,,,,,,,,
20 Minutes Till Dawn,2.99,2023-06-08,25547.0,Very Positive,"Action Roguelike,Bullet Hell,Survival,Horror,Shoot 'Em Up,Roguelite,Combat,Top-Down Shooter,Casual,Pixel Graphics,Lovecraftian,Singleplayer,Strategy,Action,RPG,Controller,Gun Customization,Dark Fantasy,Score Attack,Shooter",20 Minutes Till Dawn is a survival roguelite where endless hordes of creatures lurk from the dark. Craft an array of overpowering builds and eradicate waves of Lovecraftian nightmares. Will you be able to survive the night?,2023-06-08,,,,,,,,,,
20XX,6.99,2017-08-16,3758.0,Very Positive,"Platformer,Action Roguelike,Action,2D Platformer,Roguelite,Online Co-Op,2D,Indie,Female Protagonist,Local Co-Op,Side Scroller,Great Soundtrack,Multiplayer,Controller,Local Multiplayer,Procedural Generation,Co-op,Singleplayer,Roguelike,Difficult","20XX is a roguelike action platformer that you can play with a friend. Jump and shoot your way through ever-changing levels, collect awesome new powers, and battle mighty bosses in the name of saving the human race maybe!",2017-08-16,,,,,,,,,,
20XX - Hawk Character DLC,1.89,2018-02-12,63.0,Very Positive,"Action,Indie","This DLC introduces Hawk, a powerful playable Contractor capable of using 20XX's awesome Powers to the fullest. Wield the sinister Siphon, stealing energy from your foes to fuel your unique Powers!",2018-02-12,,,,,,,,,,
2112TD: Tower Defense Survival,2.99,2023-01-19,353.0,Very Positive,"Strategy,Tower Defense,Action,Singleplayer,Sci-fi,Old School,Top-Down,2D,PvE,Isometric,Space,Zombies,Retro,Wargame,1990's,Dystopian ,Survival,Post-apocalyptic,Nostalgia,Aliens","Get ready for the ULTIMATE tower defense onslaught. Build, deploy, research and upgrade your defenses in this epic, old school RTS inspired sci-fi adventure.",2023-01-19,,,,,,,,,,
2Dark,24.99,2017-03-10,441.0,Very Positive,"Indie,Horror,Stealth,Survival Horror,Strategy,Puzzle,Action,Top-Down,Psychological Horror,Exploration,Singleplayer,Psychedelic,Stylized,2D,Isometric,Pixel Graphics,Third Person,Voxel,Adventure,Dark","2Dark is a stealth adventure game developed by Frédérick Raynal, the pioneer of survival horror games and creator of Alone in the Dark®. Make your way through the lairs of psychopaths, unravel intrigue where madness mingles with horror, and, above all, save the kids!",2017-03-10,,,,,,,,,,
2番線 | Nibansen,,,,,,,,18-01-2024,6602.0,4.99,27542.0,1.2029222325691964,81.0,Indie,MFC STUDIO,MFC STUDIO,2699510.0
3 Minutes to Midnight - A Comedy Graphic Adventure,,,,,,,,22-08-2024,1742.0,24.99,35867.0,7.501924637371908,92.0,Indie,Scarecrow Studio,Scarecrow Studio,832500.0
3030 Deathwar Redux - A Space Odyssey,3.49,2017-09-13,1011.0,Very Positive,"Adventure,Indie,Space,Action,Simulation,Open World,Sci-fi,2D,Exploration,Sandbox,Singleplayer,Space Sim,Story Rich,Atmospheric,Great Soundtrack,Comedy,Pixel Graphics,Funny,RPG,Cyberpunk","3030 Deathwar is a unique mix of Adventure and Space Sim. Explore star systems, mine and hunt pirates in top-down mode. Leave your ship and switch into classic Adventuring mode, where you explore derelicts, talk to shady characters or head over to the space bar for a drink.",2017-09-13,,,,,,,,,,
30XX,8.19,2023-08-09,2061.0,Very Positive,"Action Roguelike,Side Scroller,2D Platformer,Roguelite,Perma Death,Platformer,Roguelike,2D,Female Protagonist,Controller,Procedural Generation,Pixel Graphics,Action,Sci-fi,Level Editor,Robots,Adventure,Co-op,Multiplayer,Local Co-Op","Jump, shoot, and slash your way through 30XX, the roguelike action platformer you can play with a friend!



Explore lush, ever-changing worlds that mix precise platforming with fevered combat. Destroy fearsome Guardians. Master unique Powers. Rediscover the thousand years we've lost.",2023-08-09,,,,,,,,,,
3dSen PC,5.49,2020-06-19,391.0,Very Positive,"Action,2.5D,Indie,Early Access,Adventure,RPG,Casual,Classic,Great Soundtrack,Retro,Arcade,Software,Pixel Graphics,Old School,Singleplayer,Remake,Platformer",3dSen - the unique emulator - breathes new life into 8-bit classic NES games by magically converting 2D pixel graphics into 3D voxel art. Experience your favorite retro like never before.,2020-06-19,,,,,,,,,,
3秒ばなな,0.9,2024-03-04,33.0,Positive,"Action,Action-Adventure,3D Platformer,3D,Cute,Emotional,Supernatural,Physics,Indie,Singleplayer,Multiplayer",This is Banana!,2024-03-04,,,,,,,,,,
4D Golf,,,,,,,,22-03-2024,10052.0,19.99,195440.0,6.548743445908296,99.0,Indie,CodeParade,CodeParade,2147950.0
64.0,1.0,2017-03-16,1318.0,Very Positive,"Difficult,Indie,Action,Rhythm,Great Soundtrack,Retro,Fast-Paced,Pixel Graphics,Abstract,2D,Singleplayer,Arcade,Top-Down Shooter,Replay Value,Shooter,Survival,Top-Down,Minimalist,Music","64.0 is a minimal fast-paced arcade game, where you shoot the squares that have the same color as the background.",2017-03-16,,,,,,,,,,
6N23,0.9,2023-11-23,58.0,Very Positive,"2D Platformer,Action,Platformer,2D,Controller,Pixel Graphics,Fantasy,Futuristic,Casual,Singleplayer,Racing,Indie","6n23 is an action-platfomer-racing game. Rush fast as you can. Use your finger, find path. It has controls similar to a fighting game, allowing you to practice your control skills.",2023-11-23,,,,,,,,,,
7 Days to Die,,,,,,,,25-07-2024,9877443.0,44.99,89781931.0,85.91358519475969,89.0,AA,The Fun Pimps Entertainment LLC,The Fun Pimps,251570.0
8-Bit Invaders!,6.99,2016-12-16,393.0,Very Positive,"Strategy,Indie,Simulation,RTS,Multiplayer,Pixel Graphics,Singleplayer,Co-op,Action,Great Soundtrack,Aliens,Sci-fi,Retro,Voxel,Local Multiplayer,Online Co-Op,War,Military,PvP","8-Bit Invaders! is a fast-paced, retro Real-Time Strategy game for the PC.  Control the military might of the Galactic Marine Corps or Invade with the devastating power of the Cranioids!  Mine, Build, and Fight your way to victory!  Conquering the Multiverse was never so easy.",2016-12-16,,,,,,,,,,
8Bit Fiesta - The Drinking Game,0.0,2016-09-30,612.0,Very Positive,"Party Game,4 Player Local,Split Screen,Blood,Free to Play,Party,Action,Precision Platformer,Indie,Casual,Local Co-Op,Local Multiplayer,Pixel Graphics,Dark Humor,Controller,Comedy,Platformer,2D,Multiplayer,Memes","8Bit Fiesta brings everything you need to the table with its action packed local multiplayer mayhem including a built in drinking game! Choose between a ton of characters and challenge your friends and prove yourself worthy the title ""King of the Fiesta"".",2016-09-30,,,,,,,,,,
8Doors: Arum's Afterlife Adventure,8.19,2021-04-08,772.0,Mostly Positive,"Action,Indie,Adventure,Metroidvania,Platformer,Action-Adventure,Side Scroller,Hand-drawn,2D,Exploration,Singleplayer,Difficult,Female Protagonist,Cute,Story Rich,Great Soundtrack,Multiple Endings,Emotional,Souls-like","8Doors is a story-driven Metroidvania-style action platformer heavily influenced by Korean folktales. Play as ‘Arum’, a brave girl that has entered the realm of the afterlife in search of her father’s soul and guide her through the '8 Doors of Purgatory' to solve the mysteries that lie deep within.",2021-04-08,,,,,,,,,,
8th Heaven,,,,,,,,29-07-2024,2562.0,14.99,29280.0,1.7129255284405749,84.0,Indie,TinyHat Studios,Cottage Club,2321860.0
9 Days,6.99,2024-03-08,1045.0,Mixed,"Adventure,Action,Open World,Singleplayer,Fantasy,Magic,RPG,Sandbox,Third Person,Atmospheric,Exploration,Action RPG,Multiplayer,Superhero,Destruction,Indie","You have 9 days before the final fight. At your current state, you do not stand a chance! Explore this Open World to gain new skills and abilities for the battle. Choose where you go, what you do carefully. You cannot waste time! You have 9 days.",2024-03-08,08-03-2024,24560.0,14.99,331338.0,10.927570712807812,62.0,Indie,MVR,MVR,2075720.0
9 Years of Shadows,8.19,2023-03-27,1525.0,Mostly Positive,"Action,Adventure,Metroidvania,Action-Adventure,Pixel Graphics,Platformer,Exploration,Side Scroller,2D,Female Protagonist,Atmospheric,Indie,Story Rich,Fantasy,Singleplayer,Lore-Rich,Magic,Anime,Souls-like","Fight to bring beautiful colors back to a hand-crafted world of darkness and discover the story of Europa, a young warrior, and her ghostly childhood companion, Apino.",2023-03-27,,,,,,,,,,
9-Bit Armies: A Bit Too Far,6.14,2024-08-26,589.0,Very Positive,"Action RTS,Wargame,Real Time Tactics,RTS,Sandbox,Colorful,PvP,Base Building,Strategy,Tactical,Isometric,Action,Top-Down,Voxel,Funny,LEGO,Moddable,Naval Combat,Military,Management","Unleash voxel warfare in 9-Bit Armies: A Bit Too Far. Lead a modern military, build bases, unlock units, and attack in all-out war. Engage on land, sea and air in over two dozen missions, online skirmishes, or co-op. Easy to learn, a challenge to master.",2024-08-26,26-08-2024,31112.0,19.99,477043.0,11.292738471310066,89.0,Indie,Petroglyph,Petroglyph,1439750.0
9-nine-:Episode 2,8.19,2019-08-17,1266.0,Overwhelmingly Positive,"Sexual Content,Visual Novel,Nudity,Anime,Cute,Casual,Violent,Multiple Endings,Action,Choices Matter,Episodic,Mystery,Simulation,Magic,2D,Great Soundtrack,Dating Sim,NSFW,Romance,Story Rich",It's Sora and Kakeru's time to shine when the action heats up in 9-nine-: Episode 2. Can they take down the murderer before it's too late for them both?,2019-08-17,,,,,,,,,,
9-nine-:Episode 3,8.19,2020-09-01,623.0,Very Positive,"Casual,Visual Novel,Dating Sim,Romance,2D,Cute,Funny,Action,Story Rich,Simulation,Anime,Colorful,Cats,Fantasy,Magic,Comedy,Drama,Singleplayer,Mystery,Nudity","9-nine-: Episode 3 is the latest chapter in this series of supernatural mystery visual novels with the focus now shifted towards a new heroine, Haruka Kosaka.",2020-09-01,,,,,,,,,,
911: Cannibal,3.99,2023-04-14,35.0,Positive,"Action,Adventure,Puzzle,Action-Adventure,Indie,Exploration,Hidden Object,First-Person,FPS,Horror,Survival Horror,Singleplayer,Blood,Gore,Violent",Search items and solve puzzles to escape from the cannibal's plate. Cover up your tracks so that the maniac does not suspect anything.,2023-04-14,,,,,,,,,,
911: Prey,2.49,2023-08-16,22.0,Positive,"Action,Adventure,Puzzle,Action-Adventure,Indie,Exploration,Hidden Object,FPS,3D,First-Person,Horror,Survival Horror,Singleplayer,Blood,Gore,Violent",Search items and solve puzzles to escape from the cannibal's plate. Cover up your tracks so that the maniac does not suspect anything.,2023-08-16,,,,,,,,,,
9th Sentinel Sisters,4.99,2023-10-06,206.0,Mostly Positive,"Roguelite,Action,Hack and Slash,Post-apocalyptic,Dark,Female Protagonist,Futuristic,Choices Matter,Atmospheric,Controller,Twin Stick Shooter,Action Roguelike,2.5D,Sci-fi,Hand-drawn,Aliens,Dystopian ,Mechs,Singleplayer,Indie","The battle of the clone girls unfolds on a post-apocalyptic Earth, devastated by the alien life form known as ""Bleed."" Pilot the manned weapon ""Father"" to eliminate enemies. Upgrade weapons, create powerful builds, and strategize to successfully clear stages.",2023-10-06,,,,,,,,,,
A Bastard's Tale,4.99,2015-05-26,290.0,Very Positive,"Indie,Adventure,Difficult,Action,Swordplay,Pixel Graphics,Arcade,Action-Adventure,Controller,Hack and Slash,Medieval,Singleplayer,Souls-like,2D","A game about parrying, attacking, and overcoming difficult foes",2015-05-26,,,,,,,,,,
A Dance of Fire and Ice,3.49,2019-01-25,63126.0,Very Positive,"Rhythm,Music,Difficult,Level Editor,Indie,Arcade,Singleplayer,2D,Fantasy,Colorful,Psychedelic,Casual,Action,Atmospheric,Family Friendly,Co-op,Multiplayer,Great Soundtrack,Games Workshop,Anime",A Dance of Fire and Ice is a strict rhythm game. Keep your focus as you guide two orbiting planets along a winding path without breaking their perfect equilibrium.,2019-01-25,,,,,,,,,,
A Day Out,5.49,2024-06-28,371.0,Mostly Positive,"Online Co-Op,Multiplayer,Investigation,Hunting,Supernatural,Character Customization,Shooter,Third Person,Psychological Horror,Controller,Action,Demons,Mythology,Mystery,Adventure,Aliens,Conspiracy,Dark,Combat,Third-Person Shooter",A Day Out is a monster-hunting and case-solving co-op third person shooter. Capture monsters and discover a new supernatural world with your friends!,2024-06-28,27-06-2024,20883.0,9.99,198689.0,5.069955151525373,80.0,Indie,KevTheDev,"KevTheDev,gamesbychris",1547670.0
A Difficult Game About Climbing,5.49,2024-03-06,3498.0,Very Positive,"Difficult,Precision Platformer,Psychological Horror,Physics,Parkour,Funny,Singleplayer,Indie,Platformer,Surreal,Third Person,Philosophical,Action,Survival,Linear,Nature,2.5D,2D Platformer,Intentionally Awkward Controls,2D",This is a difficult game about climbing.,2024-03-06,06-03-2024,122429.0,9.99,1126490.0,8.13506057547006,89.0,Indie,Pontypants,Pontypants,2497920.0
A Front Too Far: Normandy,3.49,2018-12-20,180.0,Mixed,"Action,Adventure,RPG,Indie,Strategy,Violent,World War II,Open World,FPS,Singleplayer",Infiltrate German lines in Normandy in a WWII role-playing game.,2018-12-20,,,,,,,,,,
A Good Cat and The Graduate Life,0.0,2024-08-09,55.0,Very Positive,"Action,Cats,Drama,2D Platformer,Multiple Endings,Pixel Graphics,Action-Adventure,Free to Play,Singleplayer","Playing as a good cat, helping your master get over the struggle!",2024-08-09,,,,,,,,,,
A Gummy's Life,2.49,2018-10-03,179.0,Very Positive,"Party Game,Cute,Cartoon,Multiplayer,Party,Fighting,Funny,Physics,Wrestling,Casual,3D Fighter,Local Co-Op,Beat 'em up,4 Player Local,Action,Combat,Family Friendly,Sandbox,Local Multiplayer,Colorful","A Gummy’s Life is a local & online party multiplayer with candy-coated physics-based fights. Choose your favorite gummy, customize it to your taste and show who rules over the sugar! Play with friends, family or AIs in multiple manic game modes or battle online - as easy as taking candy from a baby.",2018-10-03,,,,,,,,,,
A Mass of Dead,2.99,2015-07-15,34.0,Mixed,"Indie,Action,Zombies,Shooter,Top-Down,Top-Down Shooter","Massacre of zombies!

Survive the zombies. Buy and upgrade weapons and equipment to massacre zombies. Kill special zombies like zombie dogs, get unique weapons and equipment that you can’t buy from the shop. Be unbeatable using power boost and massacre zombies.",2015-07-15,,,,,,,,,,
A Plague Tale: Innocence,6.99,2019-05-14,51916.0,Very Positive,"Story Rich,Adventure,Stealth,Female Protagonist,Medieval,Atmospheric,Singleplayer,Action,Third Person,Dark,Horror,Great Soundtrack,Historical,Emotional,Violent,Survival,Puzzle,Dark Fantasy,Post-apocalyptic,Walking Simulator","Follow the grim tale of young Amicia and her little brother Hugo, in a heartrending journey through the darkest hours of history.",2019-05-14,,,,,,,,,,
A Plague Tale: Requiem,15.99,2022-10-17,13475.0,Very Positive,"Adventure,Action,Action-Adventure,Exploration,Cinematic,Interactive Fiction,Third Person,Atmospheric,3D,Realistic,Female Protagonist,Dark,Alternate History,Emotional,Drama,Medieval,Historical,Singleplayer,Mystery,Narration","Embark on a heartrending journey into a brutal, breathtaking world, and discover the cost of saving those you love in a desperate struggle for survival. Strike from the shadows or unleash hell with a variety of weapons, tools and unearthly powers.",2022-10-17,,,,,,,,,,
A Plague Tale: Requiem - Protector Pack DLC,1.6,2022-10-18,71.0,Very Positive,"Action,Adventure,RPG,Gore,Violent","Get the Protector Pack to set out on the right foot in the next chapter of Amicia’s and Hugo’s journey, with an exclusive crossbow skin, extra cosmetics for Amicia, and bonus crafting materials.",2022-10-18,,,,,,,,,,
A Robot Named Fight!,6.49,2017-09-07,737.0,Very Positive,"Metroidvania,Roguevania,Action Roguelike,Action,Roguelite,Indie,Gore,Violent,Procedural Generation,Pixel Graphics,Platformer,2D,Retro,Robots,Roguelike,Local Co-Op,Local Multiplayer,4 Player Local,Nonlinear,Split Screen","A Robot Named Fight is a Metroidvania roguelike focused on exploration and item collection. Explore a different, procedurally-generated labyrinth each time you play and discover randomized power-ups to traverse obstacles, find secrets and explode meat beasts.",2017-09-07,,,,,,,,,,
A Strange City,0.45,2021-05-20,20.0,Positive,"Casual,Action,Arcade,Side Scroller,Noir,Pixel Graphics,Stylized,Atmospheric,Stealth,Adventure,Singleplayer,Music",Run and shoot to escape from the mechanical fish.,2021-05-20,,,,,,,,,,
A Total War Saga: THRONES OF BRITANNIA,24.99,2018-05-03,11374.0,Mixed,"Strategy,Historical,RTS,Turn-Based Strategy,Medieval,War,Action,Grand Strategy,Singleplayer,Multiplayer,Tactical,Co-op,Vikings,Military,Atmospheric,Turn-Based,Sandbox,City Builder,Real Time Tactics,Base Building","From the multi-award-winning strategy series, A Total War Saga: Thrones of Britannia combines huge real-time battles with engrossing turn-based campaign, set at a critical flashpoint in history. Anglo-Saxons, Gaelic clans and Viking settlers clash for control. What Kingdom will you build?",2018-05-03,,,,,,,,,,
A Total War Saga: TROY,44.99,2021-09-02,2658.0,Mostly Positive,"Strategy,Simulation,RTS,Historical,War,Action,Violent,Singleplayer,Turn-Based Strategy,Mythology,Grand Strategy,Multiplayer,Real Time Tactics,Fantasy,Sandbox,Adventure,Co-op,Massively Multiplayer,Real-Time with Pause,4X","Inspired by The Iliad and brought to life through the award-winning strategy game series, A Total War Saga: TROY brings a blend of grand, turn-based empire management and spectacular real-time battles to the heart of the Trojan War.",2021-09-02,,,,,,,,,,
A Total War Saga: TROY - Ajax & Diomedes,7.49,2021-09-02,19.0,Mostly Positive,"Action,Simulation,Strategy,Violent","Jump into the fray as two of the most iconic heroes of the age, Ajax & Diomedes, with their unique armies, mighty Paragon units, and new methods to conquer Troy.",2021-09-02,,,,,,,,,,
A Total War Saga: TROY - Amazons,7.49,2021-09-02,23.0,Mixed,"Simulation,Action,Strategy,Violent","Enjoy two new factions; new epic heroes Hippolyta and Penthesilea; new female-only unit rosters; three new faction mechanics; two new epic mission chains, and more!",2021-09-02,,,,,,,,,,
A Total War Saga: TROY - MYTHOS,22.49,2021-09-02,77.0,Mixed,"Strategy,Action,Simulation,Violent","The battle for Troy cannot be waged by man alone. In this big, bold Expansion Pack, recruit monsters and creatures of myth to fight at your side, turning the tide of war on new fantastical battlefields and a refreshed campaign map.",2021-09-02,,,,,,,,,,
A Total War Saga: TROY - Rhesus & Memnon,7.49,2021-12-14,26.0,Positive,"Simulation,Action,Strategy,Violent","Inspired by The Iliad and brought to life through the award-winning strategy game series, A Total War Saga: TROY brings a blend of grand, turn-based empire management and spectacular real-time battles to the heart of the Trojan War.",2021-12-14,,,,,,,,,,
A Tower Full of Cats,,,,,,,,20-05-2024,41463.0,4.99,171352.0,2.658659161885786,99.0,Indie,Devcats,Devcats,2179170.0
A Twisted Path to Renown,,,,,,,,06-06-2024,5416.0,29.99,135445.0,32.539100142740494,54.0,Indie,Game-Labs,Game-Labs,2304660.0
A Way Out,29.99,2020-06-18,45540.0,Very Positive,"Online Co-Op,Co-op,Split Screen,Story Rich,Local Co-Op,Action-Adventure,Multiplayer,Action,Adventure,Crime,Third Person,Emotional,Conversation,Atmospheric,Nudity,Cinematic,Sexual Content,Violent,Singleplayer,Indie",A Way Out is an exclusively co-op adventure where you play the role of one of two prisoners making their daring escape from prison.,2020-06-18,,,,,,,,,,
A fascinating story,,,,,,,,14-06-2024,5323.0,9.99,38560.0,2.751939126006837,75.0,Indie,Lovely Games,L&P,2756390.0
A.V.A Global,0.0,2022-08-24,7410.0,Mixed,"FPS,Free to Play,PvP,Competitive,Shooter,First-Person,Multiplayer,Action,Military,Sniper,Massively Multiplayer,Singleplayer,Sexual Content,Violent,PvE,Online Co-Op,Co-op,Co-op Campaign,Zombies,Strategy","A.V.A is a classic FPS shooter game featuring various types game Modes. 

Depending on the battlefield, you can choose Pointman, Rifleman, and Sniper and enjoy strategic team play.",2022-08-24,,,,,,,,,,
A.V.A Global - Starters Pack,2.49,2024-04-12,14.0,Mixed,"Action,Free to Play,Massively Multiplayer,Violent","Unlock three primary weapon skins: SMG-45 ""Judgment,"" MA-12 ""Pacifism,"" PXG-1 ""Eisen Wald.""

60 Mod Tickets for customizing weapons.

Get 500 Medals for in-game currency boost.",2024-04-12,,,,,,,,,,
ACE COMBAT™ 7: SKIES UNKNOWN,29.99,2019-02-01,33511.0,Very Positive,"Flight,Jet,Military,War,Shooter,Arcade,Cinematic,PvP,3D,Simulation,Action,First-Person,Third Person,Story Rich,Multiplayer,Great Soundtrack,Singleplayer,Silent Protagonist,Sci-fi,Realistic",Become an ace pilot and soar through photorealistic skies with full 360 degree movement; down enemy aircraft and experience the thrill of engaging in realistic sorties! Aerial combat has never looked or felt better!,2019-02-01,,,,,,,,,,
ACE COMBAT™7: SKIES UNKNOWN - ADF-01 FALKEN Set,2.99,2019-06-26,57.0,Very Positive,"Action,Simulation",The 2nd add-on included in the season pass for ACE COMBAT™7: SKIES UNKNOWN.,2019-06-26,,,,,,,,,,
ACE COMBAT™7: SKIES UNKNOWN - ADF-11F Raven Set,2.99,2019-05-22,122.0,Very Positive,"Simulation,Action",The 1st add-on included in the season pass for ACE COMBAT™7: SKIES UNKNOWN.,2019-05-22,,,,,,,,,,
ACE COMBAT™7: SKIES UNKNOWN - ADFX-01 Morgan Set,2.99,2019-07-31,83.0,Mostly Positive,"Action,Simulation",The 3rd add-on included in the season pass for ACE COMBAT™7: SKIES UNKNOWN.,2019-07-31,,,,,,,,,,
